Date,01-01-2017,01-02-2017,01-03-2017,01-04-2017,01-05-2017,01-06-2017,01-07-2017,01-08-2017,01-09-2017,01-10-2017,01-11-2017,01-12-2017,01-01-2018,01-02-2018,01-03-2018,01-04-2018,01-05-2018,01-06-2018,01-07-2018,01-08-2018,01-09-2018,01-10-2018,01-11-2018,01-12-2018,01-01-2019,01-02-2019,01-03-2019,01-04-2019,01-05-2019,01-06-2019,01-07-2019,01-08-2019,01-09-2019,01-10-2019,01-11-2019,01-12-2019,01-01-2020,01-02-2020,01-03-2020,01-04-2020,01-05-2020,01-06-2020,01-07-2020,01-08-2020,01-09-2020,01-10-2020,01-11-2020,01-12-2020,01-01-2021,01-02-2021,01-03-2021,01-04-2021,01-05-2021,01-06-2021,01-07-2021,01-08-2021,01-09-2021,01-10-2021,01-11-2021,01-12-2021
NMDC Ltd.,143.85,150.25,133.1,127.5,110.65,108.25,126.75,126.65,117.75,128.15,127.6,137.8,140.3,129.35,118.55,125,117.45,108.1,105.2,111.5,113.2,109.15,95.85,96.85,96.9,100.7,104.45,100.45,101.3,112.95,108.7,83.15,88.7,112.6,102.55,128.9,116.95,91.2,80,80.55,81.15,81.15,83.8,97.15,82.25,82.45,96.4,114.45,105.2,127,135.35,155.75,182.15,184.1,181.2,154.05,143,143.15,132.85,145.95
NTPC,143.625,135.7917,138.3333,137.0833,133.5,132.4583,136.8333,140.625,139.5417,151.0417,150.9583,147.5,141.875,136.0417,141.4167,143.4583,139.625,133.0417,129.0417,142.9167,139.0417,133.0417,116.9167,124.2083,116.4167,117.7083,134.7,134.05,133.25,141.35,126.55,121.65,117.5,122.4,116.35,119.05,112.85,106.55,84.2,95.05,97.85,95.8,87,96.4,85.1,87.6,94.7,99.35,88.95,107.3,106.55,102.45,110.5,116.4,118.2,115.95,141.85,132.65,127.25,127
Nestle India,5851.85,6254.25,6680.65,6697.75,6645.1,6736.8,6767.15,7121.25,7216.5,7239,7663.5,7870.9,7469.15,7761.65,8203.55,9396.55,9654,9810.1,10530.4,11582.25,9699.65,10147.85,10764.85,11084.85,11497.85,10639.75,10960.95,10905.3,11498.1,11912.6,11675.9,12875.2,13889.65,14947,14453.95,14785.35,15359.45,15778.85,16300.6,17924.65,17540.8,17174.45,16522.2,15949.55,15918.65,17161.6,17888.95,18390.25,17060,16101.6,17165.2,16309.25,17695.55,17633,17702.65,19467.75,19445.55,19000.15,19152.55,19321.35
ONGC,202.55,193.55,185,186.55,177,157.3,169.4,156.95,170.95,191.1,180.65,195.2,203.45,188.3,177.8,180.55,177.9,158.4,165.7,180.05,177.2,153.25,140.3,149.9,141.25,148.65,159.75,169.2,171.95,167.75,138.85,121.2,131.8,141.7,131.75,128.8,108.95,91.95,68.3,79.9,83.2,81.35,78.3,81.95,69.25,64.9,78.5,93.05,88.3,111,102.15,108.15,113.65,117.7,115.3,120.55,144.5,149.05,142.1,145.9
P&G Hygiene&Heath,6920.1,7081.25,7510.2,7368,7449.75,8046.25,8065.4,8271.75,8417.8,8658.45,9400,9380.95,9244.1,9398.6,9443.5,9506.5,9274.75,9901.6,10312.15,10240.4,9672,9367.85,9545.1,9852.4,9899.85,10656.3,10745.9,10160.2,10992.15,10705.65,10932.75,10204.15,12126.15,12230.2,11374.6,11461.35,10942.35,11051.25,10447.3,10500.1,9897,10155.1,10339.3,9986.55,9934.8,10142.45,10552.4,11073.75,11337.65,12903.7,12457,13564.85,13131.05,13329.3,12690.5,13873.9,14025.55,14181.7,15060.35,15127.95
PI Industries,870.75,849.4,838.15,870.1,818.85,837.5,765.75,721.7,740.5,820.8,952.35,962.5,890.85,872.6,885.2,867.8,846.95,753.05,806.4,771.6,711.9,775.8,821.95,862.45,852.5,922.3,1031.95,1044.15,1137.4,1173.15,1099.65,1141.4,1307.05,1428.5,1481.85,1445.9,1556.85,1531.25,1170.05,1589.55,1539.2,1503.95,1760.55,1838.5,1971.5,2197.2,2208.4,2195.05,2018.7,2177.1,2258.15,2511.65,2614.95,2910.4,2950.2,3394,3178.35,2999.95,2869.5,2891.55
Pidilite Inds,673.5,682.15,699.15,719.8,770.15,805.6,795.85,835.9,794.5,781.8,842.2,902.2,896.3,900.95,917.8,1086.2,1157.6,1063.5,1123.45,1168.65,1045.85,958.85,1163.3,1107.85,1119.75,1152.45,1246.25,1234.55,1289.65,1214.45,1240.6,1377.7,1443.75,1401.6,1303,1386.9,1512.05,1513.1,1356.4,1527,1468.4,1372.1,1357,1402.8,1434.25,1570.4,1542.55,1765.65,1670.25,1685.95,1809.4,1815.8,2090.55,2153.95,2278.8,2280.35,2381.95,2313.65,2205.85,2208.45
Piramal Enterprises,1637.837,1790.296,1846.825,2422.596,2654.001,2713.975,2865.269,2633.524,2544.873,2667.248,2691.897,2782.538,2677.56,2520.938,2374.81,2537.582,2314.875,2475.792,2615.868,3123.414,2244.495,2120.964,2147.515,2324.929,1983.962,2271.046,2697.327,2305.65,2169.917,1899.965,1765.696,1981.961,1593.505,1644.02,1767.258,1523.55,1545.25,1306.55,939.5,988.75,967.7,1363.8,1473.4,1367.3,1253.5,1262.25,1388.1,1428.65,1311.45,1829.25,1753.15,1680.2,1816.2,2398.25,2318.6,2606.65,2595.8,2601.75,2418.35,2528.05
Power Grid Corpo,155.4,144.1125,147.975,156,155.9625,157.9125,167.475,164.4375,158.25,158.8875,154.5375,150.2625,145.35,148.275,144.9375,155.8875,157.0875,140.1375,136.725,151.125,141.3,139.4625,135.1125,148.9875,141.45,137.1375,148.425,139.8,141.975,155.175,158.1,150.375,149.2875,148.7625,144.975,142.6875,140.1375,136.125,119.325,121.5375,118.1625,131.1375,133.725,134.2125,121.8375,128.25,144.3,142.3875,138.3375,160.725,161.7375,165.0375,169.2375,174.3,171.15,175.35,189.9,185.05,206.75,206.1
Punjab National Bank,135.55,141.4,149.9,168.85,150.5,137.3,162.3,143.8,129.05,197.15,176.1,171.4,171.35,101.4,95.3,95.4,83.65,76.15,85.1,88.15,59.7,73.65,69.9,78.1,77.5,72.3,95.5,84.9,80.65,79.55,69.2,64.9,61.95,65.35,65.6,64.35,60.45,45.05,32.35,32.3,26.75,34.75,31.95,35.05,28.55,26.75,33.45,33.05,33.35,40.85,36.65,34.85,42.4,42.3,39.5,36.65,40.1,42.1,37.3,38.5
Reliance Inds,517.6928,613.2123,654.2484,691.0496,664.0554,683.5209,800.0167,789.7639,773.5674,932.0154,912.8967,912.4014,952.2734,945.5868,874.4114,954.2546,912.6985,963.3187,1174.864,1229.991,1246.138,1051.285,1156.587,1110.721,1215.627,1219.49,1350.449,1379.722,1317.66,1241.333,1155.299,1236.826,1319.74,1450.6,1536.585,1499.833,1398.395,1316.174,1103.292,1452.234,1464.4,1704.1,2067.1,2080.7,2234.35,2054.5,1929.8,1985.3,1841.95,2085.8,2003.1,1994.5,2160.3,2110.65,2035.3,2258.15,2519.25,2536.25,2405.4,2408.25
SBI,260.35,269.2,293.4,289.75,288.3,273.65,312.5,277.75,253.85,305.8,320.35,309.9,313.25,268,249.9,246.4,269.55,259.35,293.5,309.6,265.5,281.4,284.65,295.9,293.65,269.05,320.75,309.95,352.5,361.25,332.2,273.85,270.8,312.4,341.85,333.75,318.45,303,196.85,190.5,161.3,178.45,191.45,212,185.4,189.25,244.25,274.95,282.1,390.15,364.3,353.5,424.35,419.2,431.8,426.05,453,502.15,460.55,473.15
Shree Cement,15456.1,16111.25,17083.2,19187.55,18004.85,16953.3,18601.7,17591.05,18580.1,18930.4,17197.45,18074.5,17206.3,16623.45,16196.45,16943.8,16880.6,15554.2,17018.1,18925.8,16892.25,13917.35,16487.35,17236.1,15714.7,16592.8,18667.65,19789.5,21618.75,21820.8,20164.25,18573.8,18888.15,19903.05,20996.55,20363.95,23006.9,22670.95,17546.35,19767.9,20857.3,23051.05,21711.15,20283,20256.95,21694.55,24306.35,24013.2,22773.35,26501.7,29465.4,27910.5,27578,27504.6,28265.75,28287.9,28901.55,28635.25,26102.25,25914.05
Siemens Ltd.,1148.85,1206.25,1257.8,1320.6,1373.55,1333.95,1451.85,1285.3,1199.2,1272.85,1195.6,1236.8,1297.55,1164.35,1073.05,1121.05,1042.75,978.95,984.4,1019,941.4,929.05,949.25,1047.15,1027.9,994.05,1127.95,1171.15,1271.65,1310.25,1144.05,1204.05,1514.8,1658.7,1470.2,1496.85,1500.45,1302.45,1111.55,1139.75,1089.85,1095.15,1161.25,1160.35,1264.8,1267.8,1513.9,1576.35,1585.65,1850.15,1844.1,1881.8,2083.25,2022.2,1948.2,2272.9,2127.55,2184.4,2152.2,2185.95
Steel Authority,63.55,61.2,61.3,60.35,57.15,58.35,63.25,60.8,53.65,78,76.8,92.15,88.9,83.2,70.2,77.65,75.95,83,77.5,79.85,68.25,64.45,55.3,56.35,47,48.25,53.75,55.8,50.15,50.75,42.75,31.2,33.45,36.6,39.35,42.9,46.5,35.55,23.05,31.85,30.15,30.4,34,38.5,33.75,34.35,48.45,74.1,57.65,76.55,78.8,119.5,126.6,130.6,142.05,121.6,113.65,115.1,100.05,104
Sun Pharma,631.5,679,688.15,641.95,501.6,555.7,531.65,481.15,503.25,552.9,539.95,571.15,579.9,535.35,495.1,528.4,480.35,564,568.5,652.85,623.25,580.25,492.6,430.5,423.45,445.15,478.85,457.65,409.85,400.95,426.75,450.4,389.45,433.4,449.85,432.55,434.3,372.9,352.3,464.45,474.25,472.95,531.7,520.25,500.45,465.75,511.65,592.35,586.2,594.6,597.8,654.45,668.3,675.45,773.95,794.05,818.25,795,753.6,751.8
Tata Consultancy,1114.9,1233.125,1215.9,1136.575,1273.3,1181.175,1245.9,1248.175,1217.975,1312,1318.5,1350.6,1556.175,1517.525,1424.575,1766.05,1741.05,1847.75,1940.2,2078.4,2183.7,1938.15,1968.25,1893.05,2014.1,1983.45,2001.65,2260.35,2196.55,2227.2,2205.7,2259.6,2099.3,2269.65,2053.25,2161.7,2079.05,2000.15,1826.1,2014.45,1972.35,2082.15,2281.4,2257.25,2492.3,2664.85,2679.65,2862.75,3111.35,2894.3,3177.85,3035.65,3159.15,3345.75,3167.45,3786.45,3775.55,3397.75,3529.15,3640.45
Tata Consumer Produc,128.85,138.05,150.55,153.1,149.4,150.65,169.55,198,205.8,226.95,287.1,316.4,290.65,275.5,258.75,297.55,269.2,269.35,246.9,234.3,233.75,217.85,218.65,219.4,203.8,193.7,203.95,209.2,244,269.7,251.6,278.5,276,317,323.15,321.35,383.4,346.15,294.85,351.6,366.9,387.45,428.05,532.35,499.95,492.85,538,589.9,559.8,609.15,638.9,669.5,663.85,754.4,756.25,864.95,813.6,809.5,778.6,774.3
